mass_A
t	x	y
5,440000000E0	5,960163551E-1	4,094042056E-1
9,440000000E0	-6,188668224E-1	3,884579439E-1
1,340000000E1	5,636448598E-1	3,503738318E-1
1,752000000E1	-5,845911215E-1	3,294275701E-1
2,152000000E1	5,331775701E-1	2,951518692E-1
2,552000000E1	-5,503154206E-1	2,723014019E-1
2,948000000E1	4,969976636E-1	2,456425234E-1
3,344000000E1	-5,141355140E-1	2,246962617E-1
3,736000000E1	4,570093458E-1	2,075584112E-1
4,120000000E1	-4,817640187E-1	1,885163551E-1
