mass_A
t	x	y
4,600000000E-1	5,996640814E-1	4,103408787E-1
1,480000000E0	-6,193968494E-1	3,856531180E-1
2,480000000E0	5,634261957E-1	3,364386969E-1
3,500000000E0	-5,743873661E-1	3,089354600E-1
4,520000000E0	5,224583732E-1	2,721215295E-1
5,510000000E0	-5,388377562E-1	2,513878308E-1
6,480000000E0	4,839806601E-1	2,269118205E-1
7,490000000E0	-5,032005476E-1	2,105701776E-1
8,460000000E0	4,527104791E-1	1,888345588E-1
9,460000000E0	-4,770857829E-1	1,769725706E-1
