mass_A
t	x	y
1,840000000E0	-5,825173588E-1	3,541668040E-1
2,850000000E0	5,622589426E-1	3,125796273E-1
3,880000000E0	-5,475475667E-1	2,939931359E-1
4,850000000E0	5,331018237E-1	2,671407732E-1
5,840000000E0	-5,166716466E-1	2,462573384E-1
6,830000000E0	4,956475826E-1	2,175924217E-1
7,820000000E0	-4,837019141E-1	2,047248507E-1
8,800000000E0	4,644825914E-1	1,887243739E-1
9,780000000E0	-4,589668020E-1	1,756458592E-1
1,075000000E1	4,353957871E-1	1,619188876E-1
