mass_A
t	x	y
1,010000000E0	5,599398058E-1	3,162562187E-1
1,020000000E0	5,604802385E-1	3,175226862E-1
1,030000000E0	5,614390727E-1	3,176681049E-1
1,040000000E0	5,616925289E-1	3,176916808E-1
1,050000000E0	5,616177197E-1	3,174194268E-1
1,060000000E0	5,613037819E-1	3,161179096E-1
1,070000000E0	5,602709334E-1	3,146959904E-1
1,080000000E0	5,590700842E-1	3,123037204E-1
1,090000000E0	5,574996857E-1	3,093155034E-1
1,100000000E0	5,549631618E-1	3,062902886E-1
1,110000000E0	5,529928720E-1	3,020835173E-1
1,120000000E0	5,501664317E-1	2,979552245E-1
1,130000000E0	5,466433182E-1	2,935489278E-1
1,140000000E0	5,433365362E-1	2,879697505E-1
1,150000000E0	5,391613233E-1	2,824837777E-1
1,160000000E0	5,346377707E-1	2,765711590E-1
1,170000000E0	5,294702952E-1	2,704969526E-1
1,180000000E0	5,247687197E-1	2,627721581E-1
1,190000000E0	5,191354369E-1	2,554312749E-1
1,200000000E0	5,126153884E-1	2,482238147E-1
1,210000000E0	5,062946601E-1	2,399346569E-1
1,220000000E0	4,993793244E-1	2,314478623E-1
1,230000000E0	4,913880484E-1	2,229227663E-1
1,240000000E0	4,832140508E-1	2,138754650E-1
1,250000000E0	4,743843460E-1	2,045576397E-1
1,260000000E0	4,654016963E-1	1,959148477E-1
1,270000000E0	4,557942500E-1	1,861463868E-1
1,280000000E0	4,454744746E-1	1,763638188E-1
1,290000000E0	4,346691853E-1	1,666745175E-1
1,300000000E0	4,231866275E-1	1,567341946E-1
1,310000000E0	4,109169648E-1	1,481254554E-1
1,320000000E0	3,989724413E-1	1,381751424E-1
1,330000000E0	3,854161058E-1	1,276725099E-1
1,340000000E0	3,714536770E-1	1,184497219E-1
1,350000000E0	3,573105087E-1	1,092259748E-1
1,360000000E0	3,422958093E-1	9,979800024E-2
1,370000000E0	3,270419320E-1	9,082403713E-2
1,380000000E0	3,107430206E-1	8,265057803E-2
1,390000000E0	2,947280610E-1	7,455519120E-2
1,400000000E0	2,776820298E-1	6,609073916E-2
1,410000000E0	2,597569561E-1	5,884274040E-2
1,420000000E0	2,421926603E-1	5,171422000E-2
1,430000000E0	2,241775235E-1	4,499700654E-2
1,440000000E0	2,055828551E-1	3,828400308E-2
1,450000000E0	1,863537288E-1	3,288496432E-2
1,460000000E0	1,671136306E-1	2,777693575E-2
1,470000000E0	1,474130792E-1	2,320374808E-2
1,480000000E0	1,271388672E-1	1,950344931E-2
1,490000000E0	1,074850711E-1	1,654573406E-2
1,500000000E0	8,720453208E-2	1,306930728E-2
1,510000000E0	6,596047219E-2	1,079294583E-2
1,520000000E0	4,538053706E-2	9,431288157E-3
1,530000000E0	2,500211146E-2	8,318297229E-3
1,540000000E0	4,040383125E-3	8,102847645E-3
1,550000000E0	-1,687972952E-2	7,881641709E-3
1,560000000E0	-3,739297433E-2	8,372780794E-3
1,570000000E0	-5,818228625E-2	9,440351920E-3
1,580000000E0	-7,913270142E-2	1,107746967E-2
1,590000000E0	-9,956994887E-2	1,422489634E-2
1,600000000E0	-1,189480972E-1	1,545105768E-2
1,610000000E0	-1,403819122E-1	1,805132977E-2
1,620000000E0	-1,600968118E-1	2,160821243E-2
1,630000000E0	-1,797882681E-1	2,546006903E-2
1,640000000E0	-1,993972325E-1	2,980232579E-2
1,650000000E0	-2,188337591E-1	3,503661697E-2
1,660000000E0	-2,374475626E-1	4,080206183E-2
1,670000000E0	-2,558666705E-1	4,659981098E-2
1,680000000E0	-2,741631230E-1	5,342205139E-2
1,690000000E0	-2,910753734E-1	6,189783322E-2
1,700000000E0	-3,081685679E-1	6,860489351E-2
1,710000000E0	-3,249385881E-1	7,637144692E-2
1,720000000E0	-3,407978771E-1	8,465241208E-2
1,730000000E0	-3,561163239E-1	9,326900303E-2
1,740000000E0	-3,706690968E-1	1,024966479E-1
1,750000000E0	-3,846925639E-1	1,115896991E-1
1,760000000E0	-3,980580110E-1	1,212056839E-1
1,770000000E0	-4,096915849E-1	1,302278765E-1
1,780000000E0	-4,214571042E-1	1,395488364E-1
1,790000000E0	-4,326860678E-1	1,494373270E-1
1,800000000E0	-4,434696510E-1	1,594526648E-1
1,810000000E0	-4,534118347E-1	1,692211076E-1
1,820000000E0	-4,628435516E-1	1,788157425E-1
1,830000000E0	-4,713045141E-1	1,880200409E-1
1,840000000E0	-4,798243235E-1	1,974691333E-1
1,850000000E0	-4,874836955E-1	2,068855518E-1
1,860000000E0	-4,944419446E-1	2,154816485E-1
1,870000000E0	-5,008604264E-1	2,230909658E-1
1,880000000E0	-5,071228158E-1	2,313673635E-1
1,890000000E0	-5,125561907E-1	2,387769692E-1
1,900000000E0	-5,175383581E-1	2,456217649E-1
1,910000000E0	-5,226863502E-1	2,525796596E-1
1,920000000E0	-5,269055054E-1	2,588886301E-1
1,930000000E0	-5,311494898E-1	2,646626015E-1
1,940000000E0	-5,342202167E-1	2,699835669E-1
1,950000000E0	-5,372833240E-1	2,750367930E-1
